parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'082187700','259','','','0000000','S','21st','St','259 S 21st St','','','2/8/1995 0:00:00','RF','',39.9490671950755,-75.1758899923636
'881549400','260','','','0000000','S','21st','St','260 S 21st St','','','2/8/1995 0:00:00','RF','',39.9489755638289,-75.1764572425322
'882934210','261','','','0000000','S','21st','St','261 S 21st St','','','2/8/1995 0:00:00','RF','',39.9489168373135,-75.1759206658174
'881549500','262','','','0000000','S','21st','St','262 S 21st St','','','2/8/1995 0:00:00','RF','',39.9489227087031,-75.1764271304113
'082187900','263','','','0000000','S','21st','St','263 S 21st St','','','2/8/1995 0:00:00','RF','',39.9488758379226,-75.1759293553891
'881549600','264','','','0000000','S','21st','St','264 S 21st St','','','2/8/1995 0:00:00','RF','',39.9488733974061,-75.1764325662699
'082188000','265','','','0000000','S','21st','St','265 S 21st St','','','2/8/1995 0:00:00','RF','',39.948838222507,-75.1759664624733
'881549700','266','','','0000000','S','21st','St','266 S 21st St','','','2/8/1995 0:00:00','RF','',39.9488215021221,-75.1764452364129
'082188100','267','','','0000000','S','21st','St','267 S 21st St','','','2/8/1995 0:00:00','RF','',39.9487965830985,-75.1759466305554
'082188200','269','','','0000000','S','21st','St','269 S 21st St','','','2/8/1995 0:00:00','RF','',39.9487528397457,-75.1759554240411
'081184000','316','','','0000000','S','21st','St','316 S 21st St','','','2/8/1995 0:00:00','RF','',39.9478591473556,-75.1766386834959
'081184100','318','','','0000000','S','21st','St','318 S 21st St','','','2/8/1995 0:00:00','RF','',39.9478127399688,-75.1766511454613
'081184200','320','','','0000000','S','21st','St','320 S 21st St','','','2/8/1995 0:00:00','RF','',39.9477635086401,-75.1766601461967
'081184300','322','','','0000000','S','21st','St','322 S 21st St','','','2/8/1995 0:00:00','RF','',39.9477142773106,-75.176669146919
'081184400','324','','','0000000','S','21st','St','324 S 21st St','','','2/8/1995 0:00:00','RF','',39.9476650459804,-75.1766781476283
'081184500','326','','','0000000','S','21st','St','326 S 21st St','','','2/8/1995 0:00:00','RF','',39.9476160545865,-75.1766978436857
'081184700','332','','','0000000','S','21st','St','332 S 21st St','','','2/8/1995 0:00:00','RF','',39.947331562445,-75.1767478667944
'081182600','333','','','0000000','S','21st','St','333 S 21st St','','','2/8/1995 0:00:00','RF','',39.9472220619246,-75.1762738842089
'081184801','334','','','0000000','S','21st','St','334 S 21st St','','','2/8/1995 0:00:00','RF','',39.9472740992263,-75.1767571791274
'081182720','335','','','0000000','S','21st','St','335 S 21st St','','','2/8/1995 0:00:00','RF','',39.9471645987443,-75.1762831969276
