"Parcel","HouseNum","Ext","Rear","Unit","Dir","Street","Des","Loc","I Desig Date1","I Desig Date2","D Desig Date","District","Int Desig Date"
"262194200","2329",,,"0000000","S","21st","St","2329 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199300","2330",,,"0000000","S","21st","St","2330 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194300","2331",,,"0000000","S","21st","St","2331 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199400","2332",,,"0000000","S","21st","St","2332 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194400","2333",,,"0000000","S","21st","St","2333 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199500","2334",,,"0000000","S","21st","St","2334 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194500","2335",,,"0000000","S","21st","St","2335 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199600","2336",,,"0000000","S","21st","St","2336 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199700","2400",,,"0000000","S","21st","St","2400 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194600","2401",,,"0000000","S","21st","St","2401 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199800","2402",,,"0000000","S","21st","St","2402 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194700","2403",,,"0000000","S","21st","St","2403 S 21st St",,,11/10/1999 0:00:00,"GE",
"262199900","2404",,,"0000000","S","21st","St","2404 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194800","2405",,,"0000000","S","21st","St","2405 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200000","2406",,,"0000000","S","21st","St","2406 S 21st St",,,11/10/1999 0:00:00,"GE",
"262194900","2407",,,"0000000","S","21st","St","2407 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200100","2408",,,"0000000","S","21st","St","2408 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195000","2409",,,"0000000","S","21st","St","2409 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200200","2410",,,"0000000","S","21st","St","2410 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195100","2411",,,"0000000","S","21st","St","2411 S 21st St",,,11/10/1999 0:00:00,"GE",
"888088014","2100",,,"2",,"Delancey","Pl","2100 Delancey Pl",1/6/1972 0:00:00,,2/8/1995 0:00:00,"RF",
"262200300","2412",,,"0000000","S","21st","St","2412 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195200","2413",,,"0000000","S","21st","St","2413 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200400","2414",,,"0000000","S","21st","St","2414 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195300","2415",,,"0000000","S","21st","St","2415 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200500","2416",,,"0000000","S","21st","St","2416 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195400","2417",,,"0000000","S","21st","St","2417 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200600","2418",,,"0000000","S","21st","St","2418 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195500","2419",,,"0000000","S","21st","St","2419 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200700","2420",,,"0000000","S","21st","St","2420 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195600","2421",,,"0000000","S","21st","St","2421 S 21st St",,,11/10/1999 0:00:00,"GE",
"262200800","2422",,,"0000000","S","21st","St","2422 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195700","2423",,,"0000000","S","21st","St","2423 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195800","2425",,,"0000000","S","21st","St","2425 S 21st St",,,11/10/1999 0:00:00,"GE",
"262195900","2427",,,"0000000","S","21st","St","2427 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196000","2429",,,"0000000","S","21st","St","2429 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196100","2431",,,"0000000","S","21st","St","2431 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196200","2433",,,"0000000","S","21st","St","2433 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196300","2435",,,"0000000","S","21st","St","2435 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196400","2501",,,"0000000","S","21st","St","2501 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196500","2503",,,"0000000","S","21st","St","2503 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196600","2505",,,"0000000","S","21st","St","2505 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196700","2507",,,"0000000","S","21st","St","2507 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196800","2509",,,"0000000","S","21st","St","2509 S 21st St",,,11/10/1999 0:00:00,"GE",
"262196900","2511",,,"0000000","S","21st","St","2511 S 21st St",,,11/10/1999 0:00:00,"GE",
"262197000","2513",,,"0000000","S","21st","St","2513 S 21st St",,,11/10/1999 0:00:00,"GE",
